"Index","Open","High","Low","Close","Volume"
2015-08-06 06:32:00,210.41,210.41,210.29,210.3,1557
2015-08-06 06:33:00,210.29,210.31,210.22,210.28,4091
2015-08-06 06:34:00,210.27,210.32,210.13,210.13,2708
2015-08-06 06:35:00,210.13,210.17,209.9,209.91,2903
2015-08-06 06:36:00,209.91,209.94,209.76,209.85,3352
2015-08-06 06:37:00,209.87,209.87,209.59,209.62,4648
2015-08-06 06:38:00,209.62,209.72,209.56,209.71,2877
2015-08-06 06:39:00,209.72,209.72,209.58,209.71,2591
2015-08-06 06:40:00,209.68,209.71,209.51,209.6,2329
2015-08-06 06:41:00,209.6,209.65,209.54,209.64,2284
2015-08-06 06:42:00,209.65,209.65,209.55,209.63,2887
2015-08-06 06:43:00,209.63,209.66,209.51,209.55,1975
